BotName;QA;ResponseType;Value;ArchitecturalAlternative;Level;Generator
m1;Modifiability;AffectedComponents;3;stplus-initial;Base;None
m1;Modifiability;Complexity;115;stplus-initial;Base;None
m2;Modifiability;AffectedComponents;5;stplus-initial;Base;None
m2;Modifiability;Complexity;190.5;stplus-initial;Base;None
p1;Performance;Latency;111.7639;stplus-initial;Base;None
p2;Performance;Latency;74.0173;stplus-initial;Base;None
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IExporter);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IExporter);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(ITripDB);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(ITripDB);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IEmployeePayment);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IEmployeePayment);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IBooking);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IBooking);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IBusinessTrip);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IBusinessTrip);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(IExporter);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem)-wrapper(IExporter);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(ITripDB);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem)-wrapper(ITripDB);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-split(PaymentSystem)-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;Complexity;110.5;stplus-mod-split(PaymentSystem)-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(IEmployeePayment);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem)-wrapper(IEmployeePayment);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(IBooking);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem)-wrapper(IBooking);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(IBusinessTrip);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem)-wrapper(IBusinessTrip);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-258;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-258;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-281;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-281;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps1-338;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps1-338;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-340;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-340;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-397;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-397;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps1-404;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps1-404;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-436;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-436;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-444;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-444;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-494;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-494;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-64;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps1-64;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps2-209;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps2-209;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps2-22;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps2-22;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps2-325;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps2-325;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps2-330;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps2-330;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps2-358;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps2-358;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps2-366;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps2-366;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps2-416;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps2-416;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps2-476;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps2-476;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps2-479;First;Performance
m1;Modifiability;Complexity;123.0;stplus-ps2-479;First;Performance
m1;Modifiability;AffectedComponents;3;stplus-ps2-480;First;Performance
m1;Modifiability;Complexity;115.0;stplus-ps2-480;First;Performance
m1;Modifiability;AffectedComponents;4;stplus-ps1-258-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-258-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-258-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-258-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-258-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-258-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-258-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-258-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-258-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-258-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-258-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-258-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-258-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-258-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;110.5;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-258-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-281-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-281-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-281-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-281-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-281-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-281-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-281-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-281-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-281-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-281-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-281-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-281-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-281-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-281-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;110.5;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-281-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-338-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-338-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-338-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-338-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-338-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-338-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-338-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-338-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-338-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-338-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-338-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-338-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-338-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-338-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;110.5;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-338-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-340-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-340-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-340-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-340-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-340-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-340-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-340-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-340-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-340-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-340-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-340-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-340-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-340-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-340-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;110.5;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-340-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-397-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-397-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-397-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-397-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-397-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-397-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-397-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-397-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-397-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-397-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-397-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-397-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-397-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-397-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;110.5;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-397-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-404-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-404-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-404-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-404-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-404-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-404-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-404-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-404-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-404-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-404-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-404-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-404-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-404-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-404-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;110.5;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;111.0;stplus-ps1-404-mod-split(PaymentSystem)-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-436-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-436-mod-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-436-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-436-mod-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-436-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;115.0;stplus-ps1-436-mod-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-436-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-436-mod-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-436-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-436-mod-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;4;stplus-ps1-436-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;Complexity;123.0;stplus-ps1-436-mod-wrapper(IBusinessTrip);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-436-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-436-mod-split(PaymentSystem);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IExporter);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(ITripDB);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;3;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;110.5;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IExternalPayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IEmployeePayment);Second;Performance-Modifiability
m1;Modifiability;AffectedComponents;5;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
m1;Modifiability;Complexity;119.0;stplus-ps1-436-mod-split(PaymentSystem)-wrapper(IBooking);Second;Performance-Modifiability
